date_utc,block_time_utc,height_guess,used_height,pool_len,uluna,uusd,lunc,ustc,lcd_used,error
2024-04-21T00:00:00Z,,17745971,17745971,37,5061715598939772.041506292101851849,11858738638832.401986790488197982,5061715598.939772,11858738.638832401,https://terra-classic-lcd.publicnode.com,
2024-04-28T00:00:00Z,,17846771,17846771,37,5117731596580037.354067225446841593,11907019075023.811908802801657682,5117731596.580037,11907019.075023813,https://terra-classic-lcd.publicnode.com,
2024-05-05T00:00:00Z,,17947571,17947571,37,5191265798202027.181435582125580057,11971947578784.570913434753945714,5191265798.202027,11971947.57878457,https://terra-classic-lcd.publicnode.com,
2024-05-12T00:00:00Z,,18048371,18048371,37,5234813277910904.289467094891052130,12003948837636.906550041098105049,5234813277.910904,12003948.837636907,https://terra-classic-lcd.publicnode.com,
2024-05-19T00:00:00Z,,18149171,18149171,37,5295269510169955.810115906689529934,12036220117046.652845801246315198,5295269510.169956,12036220.117046652,https://terra-classic-lcd.publicnode.com,
2024-05-26T00:00:00Z,,18249971,18249971,37,5360327120518863.620350025930917847,12072927234063.203682125740757117,5360327120.518864,12072927.234063203,https://terra-classic-lcd.publicnode.com,
2024-06-02T00:00:00Z,,18350771,18350771,37,5458676525622784.546001066920796101,12208319794339.188496381417286569,5458676525.622785,12208319.79433919,https://terra-classic-lcd.publicnode.com,
2024-06-09T00:00:00Z,,18451571,18451571,37,5255128695691154.583002594489347290,12248517382356.075973857224620022,5255128695.691155,12248517.382356076,https://terra-classic-lcd.publicnode.com,
2024-06-16T00:00:00Z,,18552371,18552371,37,5334904906659326.713393235357942584,12328387185659.608324274131521143,5334904906.659327,12328387.185659608,https://terra-classic-lcd.publicnode.com,
2024-06-23T00:00:00Z,,18653171,18653171,37,6235700846837126.220284164857839860,12389608126141.424931588845528599,6235700846.837126,12389608.126141425,https://terra-classic-lcd.publicnode.com,
2024-06-30T00:00:00Z,,18753971,18753971,37,6302789109848591.449633364046415518,12423456566551.405730599532677708,6302789109.848591,12423456.566551406,https://terra-classic-lcd.publicnode.com,
2024-07-07T00:00:00Z,,18854771,18854771,37,6363308020287723.845883048330555526,12456968781863.844558363953853433,6363308020.287724,12456968.781863844,https://terra-classic-lcd.publicnode.com,
2024-07-14T00:00:00Z,,18955571,18955571,37,6419733559793044.391281839852865792,12509517493061.319627652501321323,6419733559.793044,12509517.49306132,https://terra-classic-lcd.publicnode.com,
2024-07-21T00:00:00Z,,19056371,19056371,37,6462343089822785.598459069767155233,12539846098746.826126864019277956,6462343089.822786,12539846.098746827,https://terra-classic-lcd.publicnode.com,
2024-07-28T00:00:00Z,,19157171,19157171,37,6519803788267924.187361013033012063,12559545123845.253969618737627322,6519803788.267924,12559545.123845253,https://terra-classic-lcd.publicnode.com,
2024-08-04T00:00:00Z,,19257971,19257971,37,6608537684226762.438791900397379291,12611934566954.665340377412185558,6608537684.226762,12611934.566954667,https://terra-classic-lcd.publicnode.com,
2024-08-11T00:00:00Z,,19358771,19358771,37,6591126567265206.871628859836636511,12636030943301.710957889700082346,6591126567.265207,12636030.943301711,https://terra-classic-lcd.publicnode.com,
2024-08-18T00:00:00Z,,19459571,19459571,37,6620867948733943.045656310881990973,12655665315823.974172959858257971,6620867948.733943,12655665.315823974,https://terra-classic-lcd.publicnode.com,
2024-08-25T00:00:00Z,,19560371,19560371,37,6799170019607850.688305993315037109,12832766091287.481371444869064881,6799170019.607851,12832766.09128748,https://terra-classic-lcd.publicnode.com,
2024-09-01T00:00:00Z,,19661171,19661171,37,6846917125782991.897745517766852667,12855072552907.007063645503012386,6846917125.782992,12855072.552907009,https://terra-classic-lcd.publicnode.com,
2024-09-08T00:00:00Z,,19761971,19761971,37,6892051119272427.400462723634633761,12901785511113.087686651814563601,6892051119.272427,12901785.511113089,https://terra-classic-lcd.publicnode.com,
2024-09-15T00:00:00Z,,19862771,19862771,37,6946284246687752.918541060871456425,12934238980943.352090793914623466,6946284246.687753,12934238.980943352,https://terra-classic-lcd.publicnode.com,
2024-09-22T00:00:00Z,,19963571,19963571,37,7002680023166904.071126843084374036,14786056666975.002274909194087622,7002680023.166904,14786056.666975003,https://terra-classic-lcd.publicnode.com,
2024-09-29T00:00:00Z,,20064371,20064371,37,7049857247933256.733565266860682389,14968156942104.330720525208876762,7049857247.933257,14968156.94210433,https://terra-classic-lcd.publicnode.com,
2024-10-06T00:00:00Z,,20165171,20165171,37,7049857247933256.733565266860682389,14968156942104.330720525208876762,7049857247.933257,14968156.94210433,https://terra-classic-lcd.publicnode.com,
2024-10-13T00:00:00Z,,20265971,20265971,37,7124508753738613.247477071340857050,15024116076549.229429076734795456,7124508753.738613,15024116.076549228,https://terra-classic-lcd.publicnode.com,
2024-10-20T00:00:00Z,,20366771,20366771,37,7187644967951022.516297431358353465,15062991378990.653716768349667985,7187644967.951023,15062991.378990654,https://terra-classic-lcd.publicnode.com,
2024-10-27T00:00:00Z,,20467571,20467571,37,7228413661261599.673434655242750328,15101559718220.352574496139830498,7228413661.2616,15101559.718220353,https://lcd.terra-classic.hexxagon.io,
2024-11-03T00:00:00Z,,20568371,20568371,37,7538734437357077.255103910372176294,15377844264317.854669166950692938,7538734437.357077,15377844.264317855,https://terra-classic-lcd.publicnode.com,
2024-11-10T00:00:00Z,,20669171,20669171,37,7607436579866321.898739576685686404,15404726093534.196651465771277158,7607436579.866322,15404726.093534198,https://terra-classic-lcd.publicnode.com,
2024-11-17T00:00:00Z,,20769971,20769971,37,7679305473280057.884777890303997242,15444010048581.879090734347731381,7679305473.280058,15444010.04858188,https://terra-classic-lcd.publicnode.com,
2024-11-24T00:00:00Z,,20870771,20870771,37,7862221577065898.881706850760324549,15479810346566.149667395273082403,7862221577.065899,15479810.34656615,https://terra-classic-lcd.publicnode.com,
2024-12-01T00:00:00Z,,20971571,20971571,37,7948277252011257.161633679214747396,15562493997905.978455720411191655,7948277252.011257,15562493.997905979,https://terra-classic-lcd.publicnode.com,
2024-12-08T00:00:00Z,,21072371,21072371,37,8051442253459778.923019373516745630,15635245483549.516552603031673579,8051442253.459779,15635245.483549515,https://terra-classic-lcd.publicnode.com,
2024-12-15T00:00:00Z,,21173171,21173171,37,8109831022620798.948418817212205983,15667040469005.007025834657016883,8109831022.620799,15667040.469005007,https://terra-classic-lcd.publicnode.com,
2024-12-22T00:00:00Z,,21273971,21273971,37,8172454135911764.827194515808064787,15702834140373.854881792017694088,8172454135.911765,15702834.140373856,https://terra-classic-lcd.publicnode.com,
2024-12-29T00:00:00Z,,21374771,21374771,37,8179802605314270.393541534811285429,15728183683925.844183998487285498,8179802605.31427,15728183.683925843,https://terra-classic-lcd.publicnode.com,
2025-01-05T00:00:00Z,,21475571,21475571,37,8216585806280082.603643957795192172,15765051078700.836842975351352938,8216585806.280083,15765051.078700837,https://terra-classic-lcd.publicnode.com,
2025-01-12T00:00:00Z,,21576371,21576371,37,8347962719968895.136926815006701279,15790334129620.085305951171532198,8347962719.968895,15790334.129620086,https://terra-classic-lcd.publicnode.com,
2025-01-19T00:00:00Z,,21677171,21677171,37,8540267024432405.159527794784330288,15816108379537.335981447634943961,8540267024.432405,15816108.379537337,https://terra-classic-lcd.publicnode.com,
2025-01-26T00:00:00Z,,21777971,21777971,37,8693488844585496.624417751057602692,15844184808488.022952531513549009,8693488844.585497,15844184.808488023,https://terra-classic-lcd.publicnode.com,
2025-02-02T00:00:00Z,,21878771,21878771,37,8785672689671493.480078846453630498,15889562677601.420125543712008937,8785672689.671494,15889562.67760142,https://terra-classic-lcd.publicnode.com,
2025-02-09T00:00:00Z,,21979571,21979571,37,8873478852359795.730537803856096377,16144424776445.131362806669763984,8873478852.359797,16144424.776445132,https://terra-classic-lcd.publicnode.com,
2025-02-16T00:00:00Z,,22080371,22080371,37,8913029329256769.656649463232142564,16209904719036.277247802008296569,8913029329.25677,16209904.719036277,https://terra-classic-lcd.publicnode.com,
2025-02-23T00:00:00Z,,22181171,22181171,37,8759949494058187.207542846083873733,16322180543726.038349638937489296,8759949494.058187,16322180.543726038,https://terra-classic-lcd.publicnode.com,
2025-03-02T00:00:00Z,,22281971,22281971,37,8919141953844194.226385609825691647,16565572988411.614870322170417506,8919141953.844194,16565572.988411615,https://terra-classic-lcd.publicnode.com,
2025-03-09T00:00:00Z,,22382771,22382771,37,8957847972701217.374520376221006918,16596554584099.042732149299900943,8957847972.701218,16596554.584099043,https://terra-classic-lcd.publicnode.com,
2025-03-16T00:00:00Z,,22483571,22483571,37,8948758814967947.216490646434212859,16627467346051.232350851498010153,8948758814.967947,16627467.346051233,https://terra-classic-lcd.publicnode.com,
2025-03-23T00:00:00Z,,22584371,22584371,37,8969848094199123.714233558720694747,16645878221275.074645538084754292,8969848094.199123,16645878.221275074,https://terra-classic-lcd.publicnode.com,
2025-03-30T00:00:00Z,,22685171,22685171,37,8970725976175514.767021663991563702,16684757590064.315873988784623047,8970725976.175514,16684757.590064317,https://terra-classic-lcd.publicnode.com,
